GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1997-1-1,,,,,,,,,,1023,1022,1021,10,10,10,42,26,,0.00,5,,48
1997-1-2,,,,,,,,,,1023,1019,1016,10,9,7,14,11,,0.00,3,,28
1997-1-3,,,,,,,,,,1016,1012,1009,10,6,3,29,19,,0.00,6,Snow,45
1997-1-4,,,,,,,,,,1011,1009,1007,10,9,4,37,27,55,0.00,7,,40
1997-1-5,,,,,,,,,,1017,1014,1011,10,10,10,27,23,,0.00,5,,51
1997-1-6,,,,,,,,,,1021,1019,1017,10,9,4,21,11,,0.00,7,,68
1997-1-7,,,,,,,,,,1021,1020,1016,10,9,4,27,16,,0.00,6,,68
1997-1-8,,,,,,,,,,1016,1010,1005,10,8,4,26,16,,0.00,7,Snow,62
1997-1-9,,,,,,,,,,1014,1008,1005,10,5,0,23,18,,0.00,6,Fog-Snow,46
1997-1-10,,,,,,,,,,1021,1018,1014,10,6,3,16,10,,0.00,6,Snow,97
1997-1-11,3,3,3,3,3,3,100,100,100,1022,1021,1020,7,2,0,16,11,,0.00,7,Fog,165
1997-1-12,7,4,3,7,5,3,100,98,93,1024,1023,1022,3,0,0,19,14,,0.00,8,Fog,198
1997-1-13,9,6,3,6,3,0,100,88,66,1023,1022,1021,8,3,0,23,16,,0.00,7,Fog,203
1997-1-14,7,3,0,2,0,-1,93,86,71,1022,1020,1018,8,5,4,13,10,,0.00,1,,200
1997-1-15,1,0,-1,1,-1,-1,100,98,93,1021,1020,1019,6,1,0,11,10,,0.00,0,Fog,203
1997-1-16,6,2,-2,4,2,-2,100,93,87,1019,1015,1012,4,3,0,19,8,,0.00,0,Fog,173
1997-1-17,6,3,1,6,3,0,100,97,93,1012,1009,1007,6,3,1,23,14,,0.00,4,Fog-Rain,183
1997-1-18,7,4,3,6,5,3,100,96,81,1014,1012,1009,10,5,0,23,14,,0.00,6,Fog,188
1997-1-19,3,2,2,3,3,2,100,100,93,1016,1009,1005,3,1,0,24,16,,0.00,5,Fog-Rain,48
1997-1-20,5,3,2,3,2,1,100,94,81,1029,1023,1016,10,6,0,21,14,,0.00,6,Fog,15
1997-1-21,3,1,0,2,0,-2,100,93,75,1029,1025,1017,10,7,1,29,16,,0.00,6,,69
1997-1-22,7,3,1,6,4,1,100,98,93,1016,1012,1011,4,1,0,24,14,,0.00,6,Fog-Rain,155
1997-1-23,7,4,3,7,5,3,100,97,93,1022,1018,1013,8,3,0,14,8,,0.00,5,Fog,224
1997-1-24,8,4,2,5,3,1,100,92,76,1031,1026,1022,8,5,2,14,10,,0.00,4,Fog,203
1997-1-25,9,4,1,3,2,-1,100,84,62,1033,1032,1031,8,7,4,14,8,,0.00,0,Fog,130
1997-1-26,7,3,0,2,1,-1,100,89,66,1032,1031,1031,8,5,0,13,8,,0.00,2,Fog,98
1997-1-27,6,3,0,5,2,-1,100,93,76,1037,1033,1031,10,3,0,21,10,,0.00,5,Fog-Rain,333
1997-1-28,5,3,1,3,2,0,100,95,81,1042,1040,1038,10,5,0,14,10,,0.00,3,Fog,23
1997-1-29,4,3,2,4,2,1,100,95,87,1042,1041,1039,10,5,0,14,8,,0.00,6,Fog,62
1997-1-30,4,3,2,2,1,0,93,88,81,1039,1038,1036,10,9,8,19,11,,0.00,6,,105
1997-1-31,4,3,2,2,1,0,93,84,81,1036,1034,1032,10,7,4,19,13,,0.00,6,,90
1997-2-1,4,3,2,3,2,1,100,90,81,1032,1028,1025,10,7,0,23,18,,0.00,6,Fog,144
1997-2-2,7,3,0,5,2,-1,100,93,81,1028,1025,1022,10,4,0,21,11,,0.00,6,Fog,263
1997-2-3,6,1,-3,3,0,-3,100,84,65,1028,1024,1018,10,9,8,29,14,48,0.00,4,,231
1997-2-4,9,7,5,8,6,3,100,91,81,1017,1010,1007,10,8,3,39,27,52,0.00,6,Rain,233
1997-2-5,7,4,2,5,3,2,100,91,76,1025,1019,1008,10,6,0,21,13,,0.00,5,Fog-Rain,274
1997-2-6,9,7,5,7,6,3,100,92,82,1025,1022,1020,10,9,4,148,29,47,0.00,6,Rain,212
1997-2-7,10,6,2,9,6,0,100,90,81,1031,1024,1020,10,8,4,29,23,42,0.00,6,Rain,248
1997-2-8,8,3,-1,3,1,-2,93,87,62,1031,1029,1025,8,6,4,21,11,,0.00,5,,235
1997-2-9,10,7,4,7,6,3,100,89,76,1025,1021,1017,10,8,3,26,21,40,0.00,6,Rain,217
1997-2-10,9,6,3,8,4,-2,93,83,61,1016,1009,1002,10,9,3,48,32,80,0.00,4,Rain,230
1997-2-11,11,7,4,9,3,1,100,84,76,1015,1012,1003,10,9,5,45,31,50,0.00,6,Rain,225
1997-2-12,11,9,8,10,9,6,100,93,82,1004,1000,993,10,8,4,47,35,55,0.00,6,Rain,237
1997-2-13,7,4,2,4,0,-3,93,72,49,1004,996,988,10,10,8,69,40,95,0.00,3,Rain,262
1997-2-14,5,2,0,1,-1,-2,100,82,70,1008,1002,1000,10,10,8,23,11,,0.00,2,,332
1997-2-15,8,4,1,1,0,-2,93,77,53,1022,1018,1009,10,10,10,35,18,,0.00,2,,274
1997-2-16,7,4,3,6,3,1,100,91,76,1021,1013,1008,10,8,3,34,21,52,0.00,5,Rain,189
1997-2-17,9,7,5,9,6,4,100,91,87,1010,1007,1001,10,9,6,39,24,58,0.00,5,Rain,215
1997-2-18,9,6,2,8,2,-1,93,78,57,1018,1003,998,10,9,3,60,35,77,0.00,4,Rain,249
1997-2-19,10,6,2,8,2,-3,93,82,53,1022,1013,995,10,7,4,69,31,97,0.00,5,Rain,227
1997-2-20,10,7,4,6,3,-3,87,72,57,1017,1015,1010,10,10,8,45,39,63,0.00,5,Rain,246
1997-2-21,11,9,7,7,6,4,87,77,67,1025,1017,1011,10,10,8,50,40,74,0.00,4,Rain,249
1997-2-22,9,8,7,7,6,3,100,85,66,1025,1021,1015,10,9,6,24,19,,0.00,5,,216
1997-2-23,11,9,7,8,6,5,93,83,67,1014,1004,992,10,9,5,47,27,66,0.00,6,Rain,210
